Title,Company,Location,Salary,Job Type,Description,Date Posted
Administrative Assistant III,Vale,"St. John's, NL",N/A,Permanent,"Receive and screen telephone calls, letters, and/or visitors, answering routine questions, and acquiring and providing information to save executive's time.   ",11
Server,Best Western Plus St. Johns Airport Hotel & Suites,"St. John's, NL",14.5,"Full-time
+1","Processes guests’ orders and ensures all items are prepared properly, in a timely manner and to ensure guest satisfaction with the food and service.   ",4
Production Technician,Atlantic Cultivation,"St. John's, NL",N/A,Full-time,"All facets of our organization operate around our core values, which are a commitment to quality, community, and fun! Using a pre-roll machine.   ",9
Data Science Graduate (Canada),Novo Nordisk,Canada,N/A,Full-time,No more than 1 year of full-time work experience after completing your Master’s degree (when hired). Together we will shape your journey by choosing the focus…,17
Cashier/Food Counter Attendant,Menchie's Frozen Yogurt,"Mount Pearl, NL",15.0,"Full-time
+1",May receive payment for food items purchased. Menchies Frozen Yogurt in St John's and Mt Pearl is looking to hire a permanent full-time or Part time Food…  ,8
Staff Solicitor (Contractual) - Gander Area Office,Newfoundland and Labrador Legal Aid Commission,"Gander, NL",N/A,,Legal Aid NL is proud to provide an innovative and collaborative legal aid system that responds to the needs of low income persons.   ,30
Student Assistant - Permanent hrs/wk,Newfoundland & Labrador English School District,"St. John's, NL",24.06,Permanent,Experience working with children either in a work or volunteer capacity. The role of a student assistant is student specific and will vary from school to school…   ,4
Host / Takeout Counter / Dishwasher,Shenanigans Restaurant and Pub,"Conception Bay South, NL",15.0,"Full-time
+1","Answer incoming calls and address customers’ concerns. Cater to guests who require extra attention (e.g. children, elderly). Maintain a clean reception area.  ",18
Office Administrator (23061),GEMTEC Consulting Engineers and Scientists Limited,"Mount Pearl, NL",N/A,Full-time,"GEMTEC management understands that creative, talented employees are assets, and that investing in employee development is an investment in our firm.   ",30
Food Operations Supervisor I,NL Health Services,"St. John's, NL",28.0,Part-time,"NL Health Services is responsible for delivering health and community services to more than 528,000 people living in Newfoundland and Labrador and employs over…  ",1
General Manager,Tiffany Village Retirement Residence Partnership,"St. John's, NL",N/A,Full-time,"Graduate of certificate/diploma or degree in Business, Hospitality or Nursing, good judgement and leadership abilities, supervisory capabilities.   ",8
Guest Service Administrators,Massage Addict Paradise,"Paradise, NL",15.0,"Full-time
+1",Provide outstanding client service; answering telephone calls and booking appointments. Maintain a safe and clean reception area by complying with clinic…   ,4
purchasing agent,Good fortune Food Industry Inc.,"St. John's, NL",22.0,"Full-time
+1","Education: Secondary (high) school graduation certificate. Develop specifications for equipment, materials and supplies to be purchased.  ",30
Store Manager,Newfoundland Labrador Liquor Corporation,"St. John's, NL",86.0,Full-time,"We welcome and encourage applications from under-represented groups such as: Indigenous persons, racially visible persons, persons with a disability, women, and…   ",30
Assistant Store Manager,Mushuau Innu General Store,"Natuashish, NL",N/A,Full-time,Assist in the implementation of strategic or annual plans for the store and hotel to meet defined expectations. Program and Service Delivery Management*.,4
All Opportunities L.A.M.C.,NL Health Services,"St. John's, NL",N/A,,"In addition to physicians and nurses, the teams are made up of physiotherapists, occupational therapists, prosthetists, dietitians, speech language pathologists…  ",30
Organizer,Neighbours United,"St. John's, NL",24.04,Part-time,Access to reliable transportation and valid driver’s license. The Organizer will support an ongoing deep canvassing program that includes: having deep canvass…  ,3
Assistant Driller,Parker Wellbore,"St. John's, NL",N/A,Full-time,"Founded in 1934, Parker Wellbore helps customers manage their costs and mitigate their risks, to achieve their operational goals in a safe and efficient manner.   ",11
Pipelayer,North Star Contracting Inc,Canada,32.0,"Full-time
+1","Ability to read and understand blueprints, specifications, schedules, and costing reports. Install and/or repair sanitary or stormwater sewer structures or pipe…",5
Pre-Owned Assistant,Capital Mitsubishi,"St. John's, NL",17.0,"Full-time
+1","Keeping track of vehicle reconditioning process by updating the used vehicle recon log, keeping track of the time to market for every vehicle traded in, and…  ",4
Taproom Server,Banished Brewing Ltd,"Paradise, NL",15.5,"Part-time
+1",Preparing beer/merchandise orders to be sent via Midland or Canada Post. You’ll be working directly with our Taproom Manager to ensure our customers have an…  ,30
Naval Combat Information Operator (Naval Reserve),Canadian Armed Forces,Newfoundland and Labrador,N/A,Part-time,"As members of the ship’s Combat Information Organization, Naval Combat Information Operators assist and advise the ship’s leadership in navigation, anti-air…",4
Customer Service Representative,U-Haul,"St. John's, NL",N/A,Part-time,Valid driver’s license and ability to maintain a good driving record. Fill propane (certification offered through U-Haul upon employment).   ,30
fruit and vegetable machine operator,Pride Pak Canada,"Paradise, NL",20.85,Full-time,Fruit and vegetable processing plant. Set up and adjust processing and packaging machines. Inform supervisor of mechanical malfunctions or product…   ,2
Red Seal Crane Operator,Integrated Logistics,Newfoundland and Labrador,1.0,Full-time,"Participate in Integrated Logistics flow to work program which sees workers move between tasks, equipment pieces and labour assignments throughout the shift and…",4
cashier,Lolo's Investments,"Conception Bay South, NL",15.5,Full-time,"Process money, cheques and credit/debit card payments. Accept reservations or take-out orders. Wrap or place merchandise in bags.  ",30
Kitchen Assistant,confidentioal,"St. John's, NL",15.0,"Full-time
+2","Knowledge of basic cooking techniques and food safety regulations. St. John'S, NL A1C 1H3: reliably commute or plan to relocate before starting work (required).  ",6
Veterinary Assistant,Humber Veterinary Clinic,"Corner Brook, NL",N/A,,"Monitor/aid in caring for animals after surgery. . Assist with patient care and treatment. Clean/Disinfect cages, kennels, exam and treatment areas of hospital.   ",30
Heavy Equipment Operator (Seasonal),St. John's International Airport Authority,"St. John's, NL",1.0,Full-time,Valid class 3 provincial driver's license with 08 and 09 endorsements. Must obtain and maintain a valid Restricted Area Identification Card (RAIC).  ,8
recreation leader,The Boys and Girls Clubs of St. John's,"St. John's, NL",16.0,Part-time,HIGH FIVE training (principles of healthy child development). Lead groups and individuals in recreational or leisure programs. Hours: 22 to 27 hours per week.  ,2
Information Analyst and Assistant Board Secretary,Board of Commissioners of Public Utilities,"St. John's, NL",60.0,Full-time,"Develop, implement, update, administer and monitor information management programs, protection policies and procedures for the Board which ensures the creation,…",4
"Manager, Home Assistance Programs",Newfoundland & Labrador Housing Corporation,"St. John's, NL",69.0,,"This shall include the delivery of repair, accessibility and energy efficiency improvements for low‐income private homeowners, rental assistance programs for…   ",29
recreation leader,The Boys and Girls Clubs of St. John's,"St. John's, NL",16.0,Part-time,HIGH FIVE training (principles of healthy child development). Lead groups and individuals in recreational or leisure programs. Hours: 22 to 27 hours per week.  ,2
Personal Banker,BMO Financial Group,"Paradise, NL",N/A,Full-time,"A recruiting agency must first have a valid, written and fully executed agency agreement contract for service to submit resumes.   ",9
Retail Sales Associate Full Time,PetSmart,"St. John's, NL",N/A,Full-time,"You’ll welcome them (and their pets!) to the store, facilitate an easy check out process as a cashier and ensure that they found everything they needed.   ",30
Disability Case Manager,Canada Life Assurance Company,"St. John's, NL",48.0,Full-time,"Respond to all telephone inquiries made by the applicant, physicians, lawyers, regarding the assessment of the claims.   ",30
Meal Advisor,M&M Food Market,"St. John's, NL",15.0,"Part-time
+1","Their work goes beyond suggesting meal ideas, to interacting with customers and creating meaningful connections with each person who visits the store.   ",4
Volunteer Gift Shop St. Clare's (Mon-Fri/days),NL Health Services,"St. John's, NL",N/A,Full-time,""" Count cash register float to confirm it is balanced. "" Serve customers with respect and pleasant attitude. Orientation: An orientation to Eastern Health will…  ",30
Lead Customer Service Representative,Circle K,"St. John's, NL",N/A,,"You will greet customers, run the cash register, make purchase suggestions and sometimes work with our food program. Years of service Recognition program.   ",30
Emergency Housing Officer,Newfoundland & Labrador Housing Corporation,"St. John's, NL",27.25,On call,"Proof of a valid class 5 driver's license. The Department also provides oversight of the corporation's eviction prevention framework, tenant and community…   ",26
Project Administrative Assistant,Tristar Mechanical Ltd.,"St. John's, NL",720.0,Full-time,"Have a valid driver’s license. Ability to read and interpret bid documents, project drawings and specifications an asset.  ",3
